,Model,Dataset,Balanced_accuracy,Recall,Precision,ROC_AUC
0,LogRegression Real data,Real test,0.8452804458674256,0.8888888888888888,0.2315644383184011,0.8452804458674256
0,LogRegression DistillGPT synthetic features,Synth test,0.6467462549911793,0.7570332480818415,0.10220994475138122,0.6467462549911793
0,LogRegression DistillGPT synthetic features,Real test,0.771826102669219,0.9497354497354498,0.13588190764572294,0.771826102669219
0,LogRegression DistillGPT real features,Synth test,0.6501028899936574,0.7544757033248082,0.1037636299683433,0.6501028899936574
0,LogRegression DistillGPT real features,Real test,0.7736401212922024,0.9206349206349206,0.14221495709031468,0.7736401212922024
0,LogRegression GPT2xl synthetic features,Synth test,0.8678897497126239,0.9258312020460358,0.2535014005602241,0.8678897497126239
0,LogRegression GPT2xl synthetic features,Real test,0.8322533922854094,0.8571428571428571,0.2302771855010661,0.8322533922854094
0,LogRegression GPT2xl real features,Synth test,0.8649140789897858,0.9156010230179028,0.2557142857142857,0.8649140789897858
0,LogRegression GPT2xl real features,Real test,0.8394007668287284,0.8703703703703703,0.23399715504978663,0.8394007668287283
0,LogRegression Cerebras synthetic features,Synth test,0.86132043233853,0.9033078880407125,0.2595029239766082,0.8613204323385298
0,LogRegression Cerebras synthetic features,Real test,0.8280635033569932,0.8386243386243386,0.23603871928518244,0.8280635033569932
0,LogRegression Cerebras real features,Synth test,0.8685911966639301,0.9083969465648855,0.27107061503416857,0.86859119666393
0,LogRegression Cerebras real features,Real test,0.8305650138627727,0.8359788359788359,0.2432640492686682,0.8305650138627726
0,LogRegression Phi1.5 synthetic features,Synth test,0.8247019563888323,0.8571428571428571,0.22385076615589608,0.8247019563888324
0,LogRegression Phi1.5 synthetic features,Real test,0.8356979101376113,0.8835978835978836,0.21872953503601833,0.8356979101376113
0,LogRegression Phi1.5 real features,Synth test,0.8234810329267228,0.8596938775510204,0.22026143790849673,0.8234810329267227
0,LogRegression Phi1.5 real features,Real test,0.8309405227761685,0.873015873015873,0.21753460777851022,0.8309405227761685
