,age,class_of_worker,education,marital_stat,major_occupation_code,race,sex,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,detailed_household_summary_in_household,num_persons_worked_for_employer,country_of_birth_self,citizenship,own_business_or_self_employed,weeks_worked_in_year,target
0,0, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
1,43, Private, 10th grade, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,0, Joint both under 65, Not in universe, Householder,2, United-States, Native- Born in the United States,0,52, - 50000.
2,18, Not in universe, Some college but no degree, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
3,33, Private, High school graduate, Never married, Precision production craft & repair, White, Male,0, Single, Not in universe, Householder,2, United-States, Native- Born in the United States,0,24, - 50000.
4,39, Self-employed-not incorporated, High school graduate, Married-civilian spouse present, Sales, Asian or Pacific Islander, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, South Korea, Foreign born- U S citizen by naturalization,0,52, - 50000.
5,28, Private, High school graduate, Married-civilian spouse present, Other service, Other, Male,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
6,47, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
7,14, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
8,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
9,28, Self-employed-not incorporated, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,1,52, - 50000.
10,15, Not in universe, 9th grade, Never married, Not in universe, White, Male,0, Single, South, Child under 18 never married,3, United-States, Native- Born in the United States,0,12, - 50000.
11,6, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
12,48, Private, Bachelors degree(BA AB BS), Divorced, Executive admin and managerial, White, Female,0, Head of household, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
13,33, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Female,50, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
14,17, Not in universe, 10th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
15,30, Private, Some college but no degree, Married-civilian spouse present, Executive admin and managerial, White, Male,25, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
16,44, Self-employed-not incorporated, 10th grade, Divorced, Handlers equip cleaners etc , White, Male,0, Nonfiler, Northeast, Nonrelative of householder,1, United-States, Native- Born in the United States,2,8, - 50000.
17,28, Not in universe, 10th grade, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
18,42, Private, Bachelors degree(BA AB BS), Divorced, Executive admin and managerial, White, Female,0, Single, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
19,24, Private, High school graduate, Never married, Other service, White, Male,0, Single, Not in universe, Nonrelative of householder,5, United-States, Native- Born in the United States,2,45, - 50000.
20,31, Private, High school graduate, Separated, Handlers equip cleaners etc , White, Male,0, Single, South, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
21,36, Private, Doctorate degree(PhD EdD), Married-civilian spouse present, Professional specialty, Asian or Pacific Islander, Male,0, Joint both under 65, Not in universe, Householder,6, China, Foreign born- Not a citizen of U S ,0,52, 50000+.
22,58, Not in universe, High school graduate, Divorced, Not in universe, White, Male,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
23,57, Not in universe, 10th grade, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,7, - 50000.
