,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
14772,2.7361,14.0,4.206611570247934,0.9834710743801652,1224.0,3.371900826446281,32.57,-117.07,0.936
10105,3.6106,18.0,4.3934681181959565,1.026438569206843,1590.0,2.472783825816485,33.92,-117.95,1.536
20094,2.125,26.0,37.06349206349206,7.185185185185185,416.0,2.201058201058201,38.19,-120.03,1.325
19261,2.6576,23.0,5.163003663003663,1.120879120879121,1644.0,3.010989010989011,38.44,-122.74,1.479
14139,2.5583,31.0,4.606334841628959,1.1334841628959276,1263.0,2.8574660633484164,32.75,-117.07,1.207
12976,4.8224,27.0,5.825072886297376,1.0291545189504374,970.0,2.82798833819242,38.67,-121.31,1.155
15474,2.8586,12.0,5.082983193277311,1.0021008403361344,1708.0,1.7941176470588236,33.14,-117.21,1.633
3397,3.0583,41.0,4.117460317460317,1.0380952380952382,733.0,2.326984126984127,34.26,-118.31,1.603
20330,6.196,25.0,6.741935483870968,1.0120967741935485,1483.0,2.989919354838709,34.25,-119.03,3.406
8884,7.7572,52.0,7.070247933884297,1.012396694214876,671.0,2.772727272727273,34.03,-118.5,5.00001
12093,4.4875,8.0,6.087227414330218,1.02803738317757,973.0,3.0311526479750777,33.76,-117.4,2.491
4671,2.3864,11.0,1.9853372434017595,1.0850439882697946,1143.0,3.3519061583577714,34.05,-118.29,3.5
9930,5.3351,14.0,7.714596949891067,1.0871459694989107,1577.0,3.435729847494553,38.29,-122.33,2.699
17374,2.0673,24.0,4.409313725490196,1.1519607843137254,1416.0,3.4705882352941178,34.96,-120.43,1.369
213,2.6042,46.0,4.489563567362429,1.0910815939278935,1647.0,3.1252371916508537,37.79,-122.22,1.247
9150,5.3209,26.0,5.765432098765432,0.9135802469135802,519.0,3.203703703703704,34.44,-118.52,1.85
11448,7.3982,14.0,7.194915254237288,1.0105932203389831,1542.0,3.266949152542373,33.68,-117.98,3.691
18934,8.0113,18.0,7.233333333333333,0.9814814814814816,658.0,2.437037037037037,38.29,-122.18,3.93
7872,4.5735,39.0,5.284848484848485,1.0272727272727271,1048.0,3.175757575757576,33.89,-118.14,1.955
17121,3.8194,36.0,4.680851063829787,0.9414893617021276,795.0,4.22872340425532,37.48,-122.12,1.594
5060,3.25,28.0,5.528673835125448,1.1129032258064515,1162.0,2.082437275985663,34.0,-118.35,3.01
18234,3.4868,27.0,3.139963167587477,1.0644567219152854,2314.0,2.130755064456722,37.4,-122.1,1.656
10556,3.4261,16.0,5.160377358490566,1.1132075471698113,945.0,2.9716981132075477,33.63,-117.71,2.197
11285,2.8,23.0,3.8995756718529,1.0381895332390385,1811.0,2.5615275813295617,33.8,-117.94,2.143
17198,5.5073,6.0,4.749585406301824,1.064676616915423,1404.0,2.328358208955224,34.45,-119.75,2.638
19977,2.3937,20.0,18.79352226720648,5.2631578947368425,658.0,2.6639676113360324,35.82,-118.7,0.821
2693,6.2558,16.0,6.140540540540541,1.0594594594594595,481.0,2.6,32.76,-115.39,1.463
4307,2.0,30.0,2.7738825591586327,1.1069237510955303,3678.0,3.223488168273444,34.09,-118.31,2.406
3470,3.0526,24.0,4.528395061728396,1.0987654320987654,3151.0,3.890123456790124,34.29,-118.46,1.833
3767,5.451,35.0,6.024742268041237,1.045360824742268,1130.0,2.329896907216495,34.17,-118.43,3.418
16411,4.75,21.0,4.602739726027397,0.9315068493150684,206.0,2.8219178082191783,37.93,-121.22,1.214
6170,3.8705,36.0,5.562770562770563,0.987012987012987,679.0,2.9393939393939394,34.08,-117.92,1.919
11598,5.8283,34.0,7.005665722379604,1.084985835694051,967.0,2.7393767705382435,33.79,-118.07,3.624
13035,2.5183,15.0,5.487544483985765,0.9911032028469752,1040.0,1.8505338078291813,38.71,-121.17,2.933
5869,3.3056,46.0,5.111111111111111,1.0527777777777778,866.0,2.4055555555555554,34.18,-118.35,2.304
11907,5.0194,38.0,5.961206896551724,1.0258620689655171,649.0,2.7974137931034484,33.97,-117.4,1.489
16576,2.75,41.0,5.666666666666667,1.0726072607260726,855.0,2.8217821782178216,37.75,-121.43,1.273
19191,3.9766,47.0,6.277777777777778,1.0694444444444444,310.0,2.1527777777777777,38.45,-122.7,1.906
6048,3.7454,33.0,5.139689578713969,1.0288248337028825,1904.0,4.221729490022173,34.02,-117.74,1.164
13966,3.5104,29.0,26.465968586387437,5.424083769633508,410.0,2.1465968586387434,34.3,-116.99,1.571
16495,2.9083,32.0,5.586056644880174,1.1176470588235294,1198.0,2.610021786492375,37.8,-120.99,1.134
11254,4.1667,46.0,2.7142857142857144,0.5714285714285714,66.0,4.714285714285714,33.81,-117.99,1.625
14727,4.3152,33.0,6.046686746987952,0.9984939759036144,1864.0,2.8072289156626504,32.79,-117.01,1.593
17290,5.623,34.0,6.239754098360656,1.1680327868852458,1002.0,2.05327868852459,34.43,-119.64,5.00001
824,4.0326,34.0,5.22258064516129,0.9451612903225808,1148.0,3.703225806451613,37.63,-122.08,1.647
15898,2.1484,52.0,5.1923076923076925,1.3076923076923077,93.0,3.576923076923077,37.72,-122.39,1.813
12928,3.5852,36.0,5.441176470588236,0.9575163398692812,846.0,2.764705882352941,38.65,-121.3,1.216
1041,3.5508,27.0,5.785,1.0883333333333334,1793.0,2.9883333333333333,38.34,-120.98,0.991
2749,4.4821,15.0,6.908108108108108,1.172972972972973,653.0,3.5297297297297296,32.76,-115.56,1.403
16193,3.6591,52.0,5.673076923076923,0.9153846153846154,736.0,2.830769230769231,37.96,-121.3,1.051
14304,1.6011,52.0,3.81619937694704,1.0342679127725856,955.0,2.9750778816199377,32.71,-117.14,1.063
8438,4.4474,46.0,4.702127659574468,0.9361702127659576,255.0,2.7127659574468086,33.93,-118.37,2.469
616,3.95,52.0,6.060869565217391,0.9695652173913044,545.0,2.369565217391304,37.74,-122.15,2.19
17809,6.9584,16.0,6.310714285714286,0.9571428571428572,1061.0,3.789285714285714,37.4,-121.87,3.516
93,2.6354,27.0,3.493377483443709,1.1490066225165565,718.0,2.377483443708609,37.79,-122.27,1.875
17178,6.7606,15.0,6.426356589147287,0.9870801033591732,2222.0,2.8708010335917318,37.51,-122.47,3.643
