,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,1.9107,52.0,5.817204301075269,1.0,565.0,2.8172043010752685,40.57,-122.28,0.661
1,2.5,52.0,4.0,1.0,150.0,2.8,37.76,-122.18,1.626
2,4.0,36.0,5.0,1.0,9.0,2.8,33.99,-118.35,1.944
3,3.0,52.0,4.0,1.0,9.0,2.8,37.86,-122.28,1.458
4,3.8125,52.0,5.826923076923077,1.0384615384615383,826.0,2.907749077490775,37.78,-122.21,1.851
5,4.5,35.0,5.866666666666666,1.0666666666666669,849.0,2.838888888888889,33.84,-117.98,2.033
6,2.0,36.0,4.0,1.0,14.0,3.0,33.93,-118.29,1.625
7,2.5,52.0,5.0,1.0,9.0,2.8,36.75,-119.75,0.799
8,2.5,52.0,4.0,1.0,48.0,2.8,37.76,-122.18,1.203
9,4.9063,52.0,5.818181818181818,1.068181818181818,704.0,2.9393939393939394,34.16,-118.32,2.713
10,6.5,17.0,6.826923076923077,1.0384615384615383,891.0,2.826923076923077,37.69,-122.08,3.622
11,1.9167,52.0,4.92914653784219,1.098490566037736,846.0,2.849056603773585,37.76,-122.18,0.608
12,6.0,52.0,5.769230769230769,1.0384615384615383,571.0,2.8173076923076925,37.8,-122.42,4.352
13,3.9167,52.0,4.955882352941177,1.0,817.0,2.817647058823529,34.14,-118.15,2.486
14,2.5,52.0,5.878787878787879,1.0,846.0,2.9393939393939394,35.35,-119.05,0.541
15,5.5,52.0,5.945454545454545,1.0,990.0,2.818181818181818,37.75,-122.44,2.265
16,6.0,52.0,5.730769230769231,1.0,788.0,2.8173076923076925,37.74,-122.42,3.531
17,2.8125,17.0,4.0,1.0,9.0,2.8,32.64,-117.06,1.034
18,2.5,52.0,4.835579514824798,1.0,781.0,2.9885057471264367,37.97,-121.3,1.042
19,3.5,52.0,4.0,1.0,150.0,2.8,37.8,-122.23,2.2
20,2.5,52.0,5.944444444444444,1.0,5.0,2.9444444444444446,39.15,-121.63,0.723
21,2.5156,35.0,5.0,1.0,870.0,3.907766990291262,37.74,-120.85,0.92
22,3.9063,52.0,4.917241379310345,1.0,827.0,2.827586206896552,37.76,-122.42,2.109
23,4.5,35.0,5.0,1.0,8.0,2.8,37.97,-122.03,2.281
24,2.5,52.0,5.0,1.0,8.0,2.8,40.8,-122.25,0.889
25,3.5,35.0,4.8,0.9666666666666668,805.0,3.0,33.84,-117.97,1.421
26,4.5,52.0,5.944444444444444,1.0,930.0,2.9444444444444446,33.99,-118.32,1.864
27,4.8125,52.0,5.912863070539419,1.0,788.0,2.835443037974684,34.14,-118.15,2.487
28,1.9167,52.0,4.8,1.0,9.0,2.944444444444444,37.76,-122.18,0.508
29,2.0,52.0,5.0,1.0,9.0,2.857142857142857,36.79,-119.69,0.804
30,3.5,52.0,5.730769230769231,1.0384615384615383,861.0,2.8173076923076925,37.92,-122.07,2.137
31,3.5,52.0,4.914798206278027,1.0,891.0,2.817700172839506,34.17,-118.32,2.177
32,3.9,52.0,4.912451361867704,1.0,949.0,2.8177718832891245,37.85,-122.26,1.463
33,2.5,52.0,5.944444444444444,1.0,730.0,2.9444444444444446,38.56,-121.46,0.924
34,8.5,52.0,7.0,1.0,9.0,2.8,34.06,-118.48,5.0
35,1.5,52.0,4.0,1.0,7.0,3.0,36.79,-119.79,0.53
36,6.0,36.0,6.967213114754099,1.0,870.0,2.8372093023255816,37.35,-122.01,3.559
37,5.5,52.0,5.967213114754097,1.0,725.0,2.859154929577465,37.78,-122.44,3.504
38,2.5,52.0,4.907766990291262,1.0,781.0,2.907766990291262,38.0,-121.3,1.121
39,2.0,52.0,5.0,1.0,14.0,3.0,36.79,-119.79,0.663
40,6.0,35.0,5.0,1.0,8.0,2.8,33.85,-118.36,3.655
41,3.0,36.0,4.858695652173913,1.065217391304348,782.0,2.858695652173913,33.96,-118.32,1.088
42,3.5,52.0,4.911764705882353,1.0392156862745097,782.0,2.817647058823529,37.8,-122.23,2.26
43,4.8125,52.0,5.833333333333333,1.0666666666666669,910.0,2.944444444444444,37.86,-122.28,2.046
44,3.9167,52.0,5.967213114754099,1.0,846.0,2.8372093023255816,37.87,-122.26,1.858
45,3.0,52.0,4.94736842105263,1.0,805.0,2.947368421052632,37.78,-122.21,1.432
46,2.5208,52.0,5.817663817663818,1.0,8.0,2.8176638176638176,37.81,-122.28,0.992
47,4.0,52.0,5.980769230769231,1.0384615384615383,891.0,2.826923076923077,37.75,-122.16,2.322
48,1.7708,52.0,4.0,1.0,671.0,3.944444444444444,37.76,-122.19,0.733
49,3.0,52.0,4.0,1.0,9.0,2.8,37.86,-122.28,1.601
50,3.9167,16.0,4.912442396313363,1.0,730.0,2.844690966719493,33.81,-117.99,1.733
51,4.9167,52.0,5.967741935483871,1.0,891.0,2.96774193548387,34.18,-118.38,2.491
52,3.0,52.0,4.0,1.0,9.0,2.8,34.06,-118.31,2.68
53,4.5,52.0,5.914110429447852,1.0,724.0,2.8171779141104296,37.75,-122.44,2.388
54,2.5,52.0,5.730769230769231,1.0384615384615383,633.0,2.8173076923076925,39.15,-121.56,0.697
55,3.125,52.0,5.0,1.0,48.0,3.0,37.75,-120.85,0.978
56,6.0,52.0,6.0,1.0,810.0,2.8,37.73,-122.44,3.677
57,3.9583,36.0,4.911764705882353,1.0392156862745099,986.0,2.764705882352941,33.88,-118.32,2.109
58,6.0,16.0,6.817991631799162,1.0,774.0,2.817991631799163,37.31,-121.82,3.622
59,4.0,36.0,5.0,1.0,8.0,3.0,33.99,-118.08,1.792
60,2.8125,52.0,4.907407407407408,1.0,891.0,2.9178082191780823,34.02,-118.33,1.673
61,4.0,36.0,4.0,1.0,8.0,2.8,34.16,-118.36,3.227
62,3.5,52.0,5.907801418439716,1.0,867.0,2.8171779141104296,38.0,-121.33,1.03
63,2.5,52.0,5.569131832797428,1.0,730.0,2.9176029962546814,37.76,-122.19,0.688
64,7.8,17.0,6.817991631799163,1.0,762.0,2.9076923076923076,37.31,-121.91,3.831
65,4.9167,52.0,5.967213114754099,1.0,753.0,2.835443037974684,37.85,-122.26,2.107
66,1.7188,52.0,4.0,1.0,8.0,2.8,36.79,-119.69,0.654
67,5.5,52.0,5.907801418439716,1.0,891.0,2.835443037974684,37.8,-122.42,3.663
68,2.5,52.0,4.0,1.0,52.0,2.8,37.76,-122.18,1.15
69,3.0,52.0,4.0,1.0,48.0,2.9444444444444446,34.09,-118.36,2.25
70,5.0,52.0,5.0,1.0,8.0,2.8,37.75,-122.44,3.409
71,3.0,36.0,4.967320261437909,1.0,1226.0,2.817796610169492,33.99,-118.32,1.348
72,3.5,35.0,5.911764705882353,1.0392156862745097,817.0,2.817647058823529,32.75,-117.08,1.37
73,3.5,52.0,5.730769230769231,1.0,827.0,2.8173076923076925,38.0,-122.26,1.427
74,2.0,35.0,5.0,1.0,730.0,2.8,36.8,-119.69,0.727
75,2.125,52.0,5.0,1.0,74.0,2.9142857142857146,37.76,-122.18,0.763
76,1.5,52.0,4.0,1.0,150.0,2.8,37.76,-122.18,0.553
77,3.5,52.0,4.0,1.0,8.0,2.8,34.17,-118.35,2.742
78,3.0,33.0,4.914582062233068,1.0,1479.0,3.817204301075269,32.75,-117.06,1.631
79,4.9063,36.0,5.907407407407407,1.0,891.0,2.814814814814815,33.9,-118.32,2.338
80,2.5,52.0,4.965986394557823,1.0,514.0,2.8372093023255816,37.76,-122.19,0.889
81,3.5,52.0,4.0,1.0,150.0,2.8,37.8,-122.25,2.521
82,3.125,52.0,5.0,1.0,52.0,2.8,38.0,-122.28,1.481
83,5.0,52.0,5.0,1.0,9.0,2.8,37.53,-122.27,3.543
84,2.5,52.0,4.907766990291262,1.0,905.0,3.823308270676692,37.8,-122.26,1.55
85,1.8125,52.0,4.0,1.0,150.0,2.8,37.82,-122.28,0.828
86,3.7708,52.0,4.730769230769231,1.0384615384615383,781.0,2.8173076923076925,37.76,-122.44,2.954
87,2.5,52.0,4.0,1.0,150.0,2.8,37.76,-122.18,1.019
88,5.5,52.0,5.826923076923077,1.0384615384615383,781.0,2.826923076923077,37.76,-122.49,3.319
89,4.5,52.0,5.817204301075269,1.0,873.0,2.817204301075269,37.73,-122.47,3.671
90,4.5,52.0,5.0,1.0,9.0,2.838888888888889,37.76,-122.44,2.762
91,5.0,52.0,5.826666666666667,1.0,8.0,2.833333333333333,37.39,-122.07,3.368
92,4.0,52.0,4.955882352941177,1.0392156862745097,781.0,2.817647058823529,37.8,-122.24,2.542
