,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,3.4194,49.0,5.99171528706049,1.0,29.0,3.4159705634754634,37.62,-124.26,2.713
1,4.7,52.0,5.23207869397082,1.0615377058321285,2370.0,2.207869397082168,34.05,-119.21,0.624
2,6.3844,52.0,4.363057153929684,1.0126372931402254,1071.0,3.1137296779402095,37.77,-118.34,1.622
3,5.3542,33.0,5.986878687863505,0.917465059054316,981.0,0.9927577598654599,34.01,-117.39,2.953
4,5.5481,9.0,5.086927777783828,1.075703840982761,685.0,2.6109384088553576,37.71,-119.87,2.352
5,3.5182,18.0,6.592087194912244,0.9851401290898643,849.0,4.850108808716554,32.82,-118.36,2.526
6,2.0869,24.0,4.561229384718628,0.9814071634163382,571.0,2.753749594718775,43.9,-122.4,2.261
7,2.6167,6.0,3.3917377713376697,1.0366133777133688,87616.0,3.8481666666666667,33.94,-118.92,1.757
8,2.5,32.0,4.39696520383614,1.0159884799084,2541.0,3.0985102895389813,33.94,-117.06,3.02
9,1.4467,11.0,5.0386255908620425,0.99738946899086,1892.0,3.5570974068117915,34.13,-120.87,1.635
10,5.6882,8.0,5.985700887525534,1.0479792955152958,1579.0,2.2957186979542397,33.95,-117.96,1.568
11,6.0764,46.0,5.141556155615445,2.11672564133334,2537.0,3.3400561556155615,32.73,-117.97,2.834
12,3.5575,36.0,5.4868226923074,0.983910894174304,682.0,4.352260926081396,33.97,-122.22,1.615
13,6.2757,36.0,2.7466175095705903,4.180817746687364,982.0,4.215947656512698,37.68,-117.89,0.534
14,4.4171,21.0,6.05439322809749,0.9425,1778.0,3.00459600449928,37.75,-122.75,3.6
15,2.5067,8.0,8.393316543645165,1.1174028471397133,1077.0,2.55473897462419,33.7,-122.0,1.295
16,3.5669,37.0,6.8914053233246895,1.0935641555223623,2943.0,1.88288029753924,34.14,-118.27,2.086
17,5.6122,44.0,4.246210527141362,0.9834653365333397,1871.0,3.0547353467678424,36.93,-122.06,5.00001
18,3.5667,37.0,3.1240241839237517,1.1220685922174225,479.0,3.8686511731904,32.36,-122.08,2.333
19,3.7836,5.0,5.5,2.2846375023761354,1874.0,2.723661238485536,32.72,-122.5,1.953
20,3.6379,14.0,1398.192856147912,1.070984393163785,854.0,2.4568368926607667,33.79,-118.29,0.551
